serial_no,dealer_name,state,city_district,phone,address,gst_no,board_type,width,height,qty,sqft,rate,amount,source_file
21,TRIMURTI ENTERPRISES,,Bareilly,9837088264,"Subhash Nagar ,Badaun Road",09EWHPS0413L1Z7,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
22,MAHADEV ENTERPRISES,,Bareilly,9458423888,Badaun Road,09AHJPG5453F1ZB,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
23,SANTOSH WELDING WORKS & MONU BUILDING MATERIAL,,Chandauli,8303288909,"House No. 1/376, Sahityanaka, Ramnagar, Varanasi",09AQQPM1543A1ZY,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
,ACP Boards,,,,,,,21,4,,,,714,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
1,PRATEEK TRADERS (SHAKTI STEEL),HARYANA,PANIPAT,,,,,240,PRATEEK TRADERS (SHAKTI STEEL),1,80,175,14000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
2,BAHALGARH STEEL UDYOG (KAMYA STEEL PVT LTD.),HARYANA,SONIPAT,,,,,600,BAHALGARH STEEL UDYOG (KAMYA STEEL PVT LTD.),1,200,175,35000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
3,BAHALGARH STEEL UDYOG (KAMYA STEEL PVT LTD.),HARYANA,SONIPAT,,,,,600,BAHALGARH STEEL UDYOG (KAMYA STEEL PVT LTD.),1,200,60,12000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
4,SOHAN TRADING CO.,HARYANA,GOHANA,,,,,420,SOHAN TRADING CO.,1,140,175,24500,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
5,SOHAN TRADING CO.,HARYANA,GOHANA,,,,,420,SOHAN TRADING CO.,1,140,60,8400,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
6,GANPATI STEELS,HARYANA,JIND,,,,,240,GANPATI STEELS,1,80,175,14000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
7,SHREE SALASAR TRADING CO,HARYANA,HANSI,,,,,300,SHREE SALASAR TRADING CO,1,125,175,21875,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
8,BABA SHEOT NATH CEMENT STORE,HARYANA,MAHAM,,,,,240,BABA SHEOT NATH CEMENT STORE,1,80,175,14000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
9,PUSHPA CONSTRUCTION COMPANY,HARYANA,HISSAR,,,,,156,PUSHPA CONSTRUCTION COMPANY,1,65,175,11375,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
10,PARBHU DAYAL AND SONS,HARYANA,HISSAR,,,,,144,PARBHU DAYAL AND SONS,1,36,175,6300,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
11,R. S. BUILDING MATERIAL,HARYANA,SIRSA,,,,,144,R. S. BUILDING MATERIAL,1,60,175,10500,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
12,AGGARWAL CEMENT AND BUILDING MATERIAL,HARYANA,UKLANA,,,,,240,AGGARWAL CEMENT AND BUILDING MATERIAL,1,80,175,14000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
13,PREETI TRADELINK PRIVATE LIMITED,HARYANA,FARIDABAD,,,,,216,PREETI TRADELINK PRIVATE LIMITED,2,72,175,25200,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
14,SHREE SHYAM STEEL,HARYANA,GURGAON,,,,,288,SHREE SHYAM STEEL,1,96,175,16800,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
15,Yadav Iron Store,HARYANA,REWARI,,,,,240,Yadav Iron Store,1,80,175,14000,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
16,M/S R.K MARBLE & BUILDING MATERIAL,HARYANA,BHIWANI,,,,,168,M/S R.K MARBLE & BUILDING MATERIAL,1,56,42,2352,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
17,R.G. TRADING CO.,HARYANA,SAMALKHA,,,,,438,R.G. TRADING CO.,1,148,42,6216,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
18,Shri Balaji Traders,HARYANA,JIND,,,,,312,Shri Balaji Traders,1,130,42,5460,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
19,Choudhary Trading co,HARYANA,BADALA,,,,,228,Choudhary Trading co,1,76,42,3192,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
20,OM PARKASH LAJPAT RAI (OMI LOHIA),HARYANA,PILUKHERA,,,,,300,OM PARKASH LAJPAT RAI (OMI LOHIA),1,100,42,4200,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
21,Haryana Steel,HARYANA,BHIWANI,,,,,444,Haryana Steel,1,148,42,6216,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
22,M.R TRADERS,HARYANA,FATEHABAD,,,,,264,M.R TRADERS,1,88,42,3696,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
23,KHATU SHYAM ENTERPRISES,HARYANA,BHATTU MANDI,,,,,216,KHATU SHYAM ENTERPRISES,1,72,42,3024,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
24,NAVEEN TRADING COMPANY,HARYANA,ROHTAK,,,,,240,NAVEEN TRADING COMPANY,1,80,42,3360,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
25,OM TRADERS(SHREE KRISHNA BUILDERS & STEEL),HARYANA,ROHTAK,,,,,420,OM TRADERS(SHREE KRISHNA BUILDERS & STEEL),1,280,42,11760,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
26,Shree Shyam Enterprises,HARYANA,BHAGOUTIPUR,,,,,240,Shree Shyam Enterprises,1,80,42,3360,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
27,JITENDRA TRADERS,HARYANA,BAHADURGARH,,,,,228,JITENDRA TRADERS,1,95,42,3990,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
28,SHARMA TRADERS,HARYANA,FARUKHNAGAR,,,,,324,SHARMA TRADERS,1,108,42,4536,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
29,OM TRADERS COMPANY,HARYANA,BHONDSI,,,,,240,OM TRADERS COMPANY,1,100,42,4200,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
30,KRISHNA STEELS(GOURAV STEELS),HARYANA,FARIDABAD,,,,,500,KRISHNA STEELS(GOURAV STEELS),1,336,42,14112,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
31,MS RAJDHANI SALES CORPORATION,DELHI,MEHRAULI,,,,,240,MS RAJDHANI SALES CORPORATION,1,80,42,3360,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
32,Aggarwal Building Material store (hodal),HARYANA,HODAL,,,,,326,Aggarwal Building Material store (hodal),1,112,42,4704,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
33,S R ENTERPRISES,HARYANA,GURGAON,,,,,264,S R ENTERPRISES,1,88,42,3696,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
34,AMBA TRADING COMPANY INDIA,HARYANA,GURGAON,,,,,144,AMBA TRADING COMPANY INDIA,1,60,42,2520,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
35,R.K. TRADERS,HARYANA,DHARUHERA,,,,,144,R.K. TRADERS,1,60,42,2520,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
36,Aakash Steel India,HARYANA,GURGAON,,,,,168,Aakash Steel India,1,70,42,2940,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
37,BANSAL IRON STORE,HARYANA,MAHENDERGARH,,,,,324,BANSAL IRON STORE,1,108,42,4536,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
38,LAXMI TIMBER TRADING CO,Delhi,DELHI,,,,,360,LAXMI TIMBER TRADING CO,1,120,42,5040,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
39,RAM DHAN ASHOK KUMAR,Delhi,DELHI,,,,,458,RAM DHAN ASHOK KUMAR,1,156,42,6552,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
40,JAGDAMBA STEEL AND CEMENT STORE,DELHI,SOUTH WEST,,,,,240,JAGDAMBA STEEL AND CEMENT STORE,1,80,42,3360,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
41,DADA HARIDASS CONSTRUCTION COMPANY,DELHI,SOUTH WEST,,,,,42,DADA HARIDASS CONSTRUCTION COMPANY,1,28,42,1176,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
42,HINDUSTAN STEEL,Delhi,Delhi,,,,,360,HINDUSTAN STEEL,1,120,42,5040,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
43,Shree Shyam Balaji Steel,Delhi,Delhi,,,,,240,Shree Shyam Balaji Steel,1,60,42,2520,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
44,SHREE BALAJI STEEL AND CEMENT,DELHI,SOUTH,,,,,264,SHREE BALAJI STEEL AND CEMENT,1,88,42,3696,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
45,JSW - Chattarpur,DELHI,SOUTH,,,,,156,JSW - Chattarpur,1,52,175,9100,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
46,JSW - Chattarpur,DELHI,SOUTH,,,,,220,JSW - Chattarpur,1,57,42,2394,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
47,JSW - Chattarpur,DELHI,SOUTH,,,,,84,JSW - Chattarpur,1,28,42,1176,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
48,JSW - Chattarpur,DELHI,SOUTH,,,,,41,JSW - Chattarpur,1,12,42,504,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
Sub Total,,,,,,,,,,,,,386458,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
GST @ 18%,,,,,,,,,,,,,69562.44,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
G Total,,,,,,,,,,,,,456020.44,Delhi HR Boards_5th Feb_Invoice Final (1).xlsx
1,Vardhman Steels,HRY,Ambala,9215167249,"13, NEW COLONY, OPPO. INDUSTRAIL AREA JAGHADHARI ROAD, AMBALA CANTT, Ambala, Haryana, 133001",06BFMPJ5432F1ZJ,GSB,420,9215167249,1,140,175,24500,GSB -  June 2025_300625 (2).xlsx
2,Vardhman Steels,HRY,Ambala,9215167249,"13, NEW COLONY, OPPO. INDUSTRAIL AREA JAGHADHARI ROAD, AMBALA CANTT, Ambala, Haryana, 133001",06BFMPJ5432F1ZJ,Angle,420,9215167249,1,70,60,4200,GSB -  June 2025_300625 (2).xlsx
3,Kamal Enterprises(ARUN TRADING AGENCY),HRY,JAGADHRI,9053154000,"OPP. PUNJAB NATIONAL BANK, GOBINDPURI, YAMUNA NAGAR, KAMAL ENTERPRISES, GOBINDPURI BYE PASS ROAD, YAMUNA NAGAR, YAMUNA NAGAR, Yamunanagar, Haryana, 135001",06AANPA5708L1ZM,GSB,840,9053154000,1,280,175,49000,GSB -  June 2025_300625 (2).xlsx
4,Kamal Enterprises(ARUN TRADING AGENCY),HRY,JAGADHRI,9053154000,"OPP. PUNJAB NATIONAL BANK, GOBINDPURI, YAMUNA NAGAR, KAMAL ENTERPRISES, GOBINDPURI BYE PASS ROAD, YAMUNA NAGAR, YAMUNA NAGAR, Yamunanagar, Haryana, 135001",06AANPA5708L1ZM,Angle,840,9053154000,1,140,60,8400,GSB -  June 2025_300625 (2).xlsx
5,SHREE SHYAM STEEL,HRY,Kharkhoda,8199017850,"MUSTIL NO. 1/5 KILA NO. 160/24, DELHI BYPASS ROAD, NEAR SAINI WORKSHOP, Kharkhoda, Sonipat, Haryana, 131402",06DXWPK7699D1ZK,NLB,144,8199017850,1,60,42,2520,GSB -  June 2025_300625 (2).xlsx
6,SHREE SHYAM STEEL,HRY,Kharkhoda,8199017850,"MUSTIL NO. 1/5 KILA NO. 160/24, DELHI BYPASS ROAD, NEAR SAINI WORKSHOP, Kharkhoda, Sonipat, Haryana, 131402",06DXWPK7699D1ZK,GSB,264,8199017850,1,88,175,15400,GSB -  June 2025_300625 (2).xlsx
7,R L ISPAT PRIVATE LIMITED,HRY,ATERNA SONIPAT,9811229398,"KHEWAT NO 203, KHATA NO. 279, HSIIDC ROAD,, VILLAGE ATERNA, TEHSIL-RAI,, Sonipat, Haryana, 131023",06AADCR1068H1ZI,NLB,156,9811229398,1,65,42,2730,GSB -  June 2025_300625 (2).xlsx
8,R L ISPAT PRIVATE LIMITED,HRY,ATERNA SONIPAT,9811229398,"KHEWAT NO 203, KHATA NO. 279, HSIIDC ROAD,, VILLAGE ATERNA, TEHSIL-RAI,, Sonipat, Haryana, 131023",06AADCR1068H1ZI,NLB,144,9811229398,1,48,42,2016,GSB -  June 2025_300625 (2).xlsx
9,R L ISPAT PRIVATE LIMITED,HRY,ATERNA SONIPAT,9811229398,"KHEWAT NO 203, KHATA NO. 279, HSIIDC ROAD,, VILLAGE ATERNA, TEHSIL-RAI,, Sonipat, Haryana, 131023",06AADCR1068H1ZI,GSB,180,9811229398,1,75,175,13125,GSB -  June 2025_300625 (2).xlsx
10,R L ISPAT PRIVATE LIMITED,HRY,ATERNA SONIPAT,9811229398,"KHEWAT NO 203, KHATA NO. 279, HSIIDC ROAD,, VILLAGE ATERNA, TEHSIL-RAI,, Sonipat, Haryana, 131023",06AADCR1068H1ZI,GSB,204,9811229398,1,68,175,11900,GSB -  June 2025_300625 (2).xlsx
11,Khatu Shyam Enterprises,HRY,Bhattu,9416168211,"Bhattu mandi, Bhattu",,GSB,240,9416168211,1,80,175,14000,GSB -  June 2025_300625 (2).xlsx
12,CITY BUILDER,HRY,Rohtak,8607404070,"PLOT NO 4, Unnamed Road, FASTag Centre, BHAIYA PUR, Makrouli Khurd, Rohtak, Haryana, 124401",06CGIPK8740F1ZA,GSB,222,8607404070,1,74,175,12950,GSB -  June 2025_300625 (2).xlsx
13,BANARSI DASS JAI BHAGWAN,HRY,UCHANA,9467061910,"Anaj Mandi, Uchana, Jind - 126102",06ABRPP2000M1ZK,GSB,204,9467061910,1,68,175,11900,GSB -  June 2025_300625 (2).xlsx
14,KISAN CEMENT STORE,HRY,BARWALA,7082516637,"Railway Road, Near Anaj Mandi, Barwala, Hisar - 125121",06ASOPK2551J1ZJ,GSB,180,7082516637,1,60,175,10500,GSB -  June 2025_300625 (2).xlsx
15,CHOUDHARY CEMENT STORE,HRY,KITLANA,9991166317,"KITLANA MOD, KITLANA MOD, VILL. KITLANA, Bhiwani, Haryana, 127021",06AGSPC0171E1ZR,GSB,336,9991166317,1,168,175,29400,GSB -  June 2025_300625 (2).xlsx
16,CHOUDHARY CEMENT STORE,HRY,KITLANA,9991166317,"KITLANA MOD, KITLANA MOD, VILL. KITLANA, Bhiwani, Haryana, 127021",06AGSPC0171E1ZR,Angle,336,9991166317,1,56,60,3360,GSB -  June 2025_300625 (2).xlsx
17,Aggarwal Traders,HRY,HANSI,9253325410,"Jind Road, Hansi, Hisar - 125033",06IHFPS0356P1ZK,NLB,89,9253325410,1,74.16666666666667,42,3115,GSB -  June 2025_300625 (2).xlsx
18,Aggarwal Traders,HRY,HANSI,9253325410,"Jind Road, Hansi, Hisar - 125033",06IHFPS0356P1ZK,GSB,240,9253325410,1,80,175,14000,GSB -  June 2025_300625 (2).xlsx
19,KHANDELWAL STEEL CENTRE,UP,Ghaziabad,9810123317,"131, LOHA MANDI GHAZIABAD, U.P-201009",09ABIPC2166J1ZN,GSB,240,9810123317,1,100,175,17500,GSB -  June 2025_300625 (2).xlsx
20,TANISHQ TRADING COMPANY,UP,Ghaziabad,9810013804,"GROUND FLOOR PLOT NO.27, G.T ROAD RAJENDER NAGAR, Mohan Nagar, Ghaziabad, Ghaziabad, Uttar Pradesh, 201007 Sahibabad",09AAHPG2708C1Z5,GSB,216,9810013804,1,72,175,12600,GSB -  June 2025_300625 (2).xlsx
21,RUBY ENGINNERING & STEEL TRADERS,UP,Ghaziabad,9312572426,"H NO 433, GALI NO 2, MEERUT ROAD, HINDON VIHAR, Ghaziabad, Uttar Pradesh, 201001",09AAIFR8527K1ZK,NLB,180,9312572426,1,60,42,2520,GSB -  June 2025_300625 (2).xlsx
22,Prabhu Traders,UP,Ghaziabad,9540744303,"10A/176 GF, VASUNDHARA, GHAZIABAD, Ghaziabad, Uttar Pradesh, 201012",09BELPJ9147K1ZT,NLB,48,9540744303,2,48,42,2016,GSB -  June 2025_300625 (2).xlsx
23,Prabhu Traders,UP,Ghaziabad,9540744303,"10A/176 GF, VASUNDHARA, GHAZIABAD, Ghaziabad, Uttar Pradesh, 201012",09BELPJ9147K1ZT,GSB,96,9540744303,1,21.333333333333332,175,3733.333333333333,GSB -  June 2025_300625 (2).xlsx
24,GAJRAJ ENTERPRISES,UP,Ghaziabad,98108003320,"SHOP NO 9 , GDA SHOPING COMPLEX SHAKTIKHAND 1 , INDIRAPURAM GHAZIABAD",09AMIPK4348K1ZM,GSB,120,98108003320,1,30,175,5250,GSB -  June 2025_300625 (2).xlsx
25,GANGOTRI STEEL SYNDICATE,UP,Ghaziabad,9810021885,"113/8, NAVYUG MARKET, GHAZIABAD, Ghaziabad, Up 201001",09ACEPG2271P1ZB,GSB,224,9810021885,1,74.66666666666667,175,13066.666666666668,GSB -  June 2025_300625 (2).xlsx
26,Ankit Trading Company,UP,Dadri,9911897773,JARCHA ROAD,09AJTPG7743E1ZT,GSB,300,9911897773,1,75,175,13125,GSB -  June 2025_300625 (2).xlsx
27,MAMVEER TRADERS,UP,Shobhapur,9927029216,Rohta Road by pass Crossing Shobhapur UP 250005,09ACFPG8479E1ZB,NLB,240,9927029216,1,80,42,3360,GSB -  June 2025_300625 (2).xlsx
28,MITTAL TRADERS,UP,Meerut,8447677996,"1414/3, SHASTRI NAGAR, Meerut, Meerut, Uttar Pradesh, 250004",09CGLPG0445C1ZP,GSB,324,8447677996,1,135,175,23625,GSB -  June 2025_300625 (2).xlsx
29,MITTAL TRADERS,UP,Meerut,8447677996,"1414/3, SHASTRI NAGAR, Meerut, Meerut, Uttar Pradesh, 250004",09CGLPG0445C1ZP,Angle,324,8447677996,1,54,60,3240,GSB -  June 2025_300625 (2).xlsx
30,ARSH ENTERPRISE,UP,MODINAGAR,9259529737,"1265/3,UNCHI SADAK,MODINAGAR UP 201204",09AYGPN9692M1ZC,GSB,360,9259529737,1,150,175,26250,GSB -  June 2025_300625 (2).xlsx
31,ARSH ENTERPRISE,UP,MODINAGAR,9259529737,"1265/3,UNCHI SADAK,MODINAGAR UP 201204",09AYGPN9692M1ZC,Angle,360,9259529737,1,60,60,3600,GSB -  June 2025_300625 (2).xlsx
32,SHYAM INTERNATIONAL,HRY,Gurgaon,9810006355,"BASAI CHOWK, NEAR STAR BANQUET HALL, SECTOR 9, 10 ROAD, GURGAON, Gurugram, Haryana, 122001",06AKHPC9980A1ZA,GSB,240,9810006355,1,80,175,14000,GSB -  June 2025_300625 (2).xlsx
33,RAHUL STEEL CORPORATION,HRY,Gurgaon,9911008856,"PATUDI ROAD, NEAR BHARAT GAS GODOWN, GURUGRAM, Gurugram, Haryana, 122006",06AXRPK1152F1ZK,NLB,240,9911008856,2,240,42,10080,GSB -  June 2025_300625 (2).xlsx
34,RAHUL STEEL CORPORATION,HRY,Gurgaon,9911008856,"PATUDI ROAD, NEAR BHARAT GAS GODOWN, GURUGRAM, Gurugram, Haryana, 122006",06AXRPK1152F1ZK,GSB,240,9911008856,1,100,175,17500,GSB -  June 2025_300625 (2).xlsx
35,CHOPRA ENTERPRISES,HRY,Gurgaon,9999229130,"33, MILESTONE, NEAR JHARSA CHOWK, GURGAON, Gurugram, Haryana, 122001",06AVEPC4786G1ZL,NLB,356,9999229130,1,207.66666666666666,42,8722,GSB -  June 2025_300625 (2).xlsx
36,CHOPRA ENTERPRISES,HRY,Gurgaon,9999229130,"33, MILESTONE, NEAR JHARSA CHOWK, GURGAON, Gurugram, Haryana, 122001",06AVEPC4786G1ZL,GSB,288,9999229130,1,120,175,21000,GSB -  June 2025_300625 (2).xlsx
37,Sharma steels and pipes,HRY,DHARUHERA,9812024665,SOHNA ROAD,,GSB,312,9812024665,1,208,175,36400,GSB -  June 2025_300625 (2).xlsx
38,Sharma steels and pipes,HRY,DHARUHERA,9812024665,SOHNA ROAD,,Angle,312,9812024665,1,52,60,3120,GSB -  June 2025_300625 (2).xlsx
39,P/S Madhav Steel  traders(BABA STEELS),Delhi,New Delhi,9810749829,A-85-86 Dabri -palm road vaishali colony dasrathpuri new delh -110045,07ALJPG4537C1ZD,GSB,204,9810749829,1,68,175,11900,GSB -  June 2025_300625 (2).xlsx
40,MAHER CHAND & GRAND SONS,Delhi,New Delhi,9718982222,k-119 mahipalpur extn old rangpuri road new delhi -110037,07bfmpk1329c3zo,GSB,276,9718982222,1,92,175,16100,GSB -  June 2025_300625 (2).xlsx
1,SUNRISE HARDWARE STORE KISHTWAR,,KISHTWAR,9796885949.0,,01AGNPI3114J1ZS,NLB,,9796885949.0,,15x5 2 pcs,,,GSB+ NLB (1).xlsx
3,IDS TRADING COMPANY,,JALANDHAR,9555008700.0,,03BBZPS4308G1ZC,GSB,,9555008700.0,,15x4 1pcs,,,GSB+ NLB (1).xlsx
4,GUPTA IRON STORE,,PATHANKOT,"9855421343, 9814321341",,03AALFG5504G2ZP,GSB,,"9855421343, 9814321341",,18x5 1pcs,,,GSB+ NLB (1).xlsx
5,KHERA AGENCIES,,SRI MUKTSAR SAHIB,9530509546.0,,03ABKPK0385P1ZC,GSB,,9530509546.0,,17.5X5 2PCS,,,GSB+ NLB (1).xlsx
11,PUNJAB IRON & CEMENT STORE,,Machhiwara,9814034147.0,,03ABRPS9220J1Z9,GSB,,9814034147.0,,20x4 1pcs,,,GSB+ NLB (1).xlsx
19,Kanha G Traders,,Charki Dadri,98129 89859,,06CJMPM3460K1ZV,GSB,,98129 89859,,17.5X3 2PCS,,,GSB+ NLB (1).xlsx
20,A K Khokher trading co.,,"VPO. Kansala, Rohtak","8826910439, 9050178502",,06WIPA2299K1ZC,GSB,,"8826910439, 9050178502",,"14.5X3 2PCS
20x5 NLB",,,GSB+ NLB (1).xlsx
22,Shiv Trading,,Ambala,9416597099.0,,06BYEPK8830M1Z0,GSB,,9416597099.0,,"20x5 1pcs
25x5 1pcs",,,GSB+ NLB (1).xlsx
23,Shiv Shakti Traders,,Barara,9991562600.0,,06AXXPS8139A1ZZ,GSB,,9991562600.0,,20X4 2PCS,,,GSB+ NLB (1).xlsx
24,Pal Cement & Steel PVT. LTD.,,Hisar,"9215510500
8053555515",,06AAGCP3809H1ZG,GSB,,"9215510500
8053555515",,20X10 1PCS,,,GSB+ NLB (1).xlsx
